"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29990","TC-SEARCH-GUEST-001: Guest tìm kiếm từ khóa hợp lệ: hiển thị kết quả @smoke @guest","Photo AC - Guest","2026-09-23","failed","2026-09-23","Chromium","search-guest.spec","",""
"","30613","TC-SEARCH-GUEST-002: Guest tìm kiếm nhiều từ khóa kết hợp: hiển thị kết quả @regression @guest","Photo AC - Guest","2026-09-23","failed","2026-09-23","Chromium","search-guest.spec","",""
