"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11156","TC-SEARCH-GUEST-038: Guest chạm hạn mức tìm kiếm hiển thị Modal giới hạn và CTA Đăng ký @regression @guest","Photo AC - Guest","2026-09-23","passed","2026-09-23","Firefox","search-guest.spec","",""
"","16973","TC-SEARCH-GUEST-013: Guest lọc ảnh theo Danh mục (人物) qua Toolbar dropdown @regression @guest","Photo AC - Guest","2026-09-23","passed","2026-09-23","Firefox","search-guest.spec","",""
"","13779","TC-SEARCH-GUEST-001: Guest tìm kiếm từ khóa hợp lệ: hiển thị kết quả @smoke @guest","Photo AC - Guest","2026-09-23","passed","2026-09-23","Firefox","search-guest.spec","",""
"","19066","TC-SEARCH-GUEST-014: Guest lọc ảnh theo Màu sắc (青 / Blue) qua Toolbar @regression @guest","Photo AC - Guest","2026-09-23","passed","2026-09-23","Firefox","search-guest.spec","",""
"","18861","TC-SEARCH-GUEST-018: Guest lọc người mẫu theo Độ tuổi (若者) qua Toolbar ""人物指定"" @regression @guest","Photo AC - Guest","2026-09-23","passed","2026-09-23","Firefox","search-guest.spec","",""
"","14597","TC-SEARCH-GUEST-009: Guest lọc kết quả theo Chiều ngang (横長) qua Toolbar @regression @guest","Photo AC - Guest","2026-09-23","passed","2026-09-23","Firefox","search-guest.spec","",""
"","28189","TC-SEARCH-GUEST-035: Guest chuyển trang phân trang (Next / Prev) thành công @regression @guest","Photo AC - Guest","2026-09-23","passed","2026-09-23","Firefox","search-guest.spec","",""
"","19604","TC-SEARCH-GUEST-037: Verify số lượng ảnh hiển thị mặc định đạt 70 ảnh trên mỗi trang và radio 70 được check default @regression @guest","Photo AC - Guest","2026-09-23","passed","2026-09-23","Firefox","search-guest.spec","",""
"","13769","TC-SEARCH-GUEST-039: Khách vãng lai khi chưa chạm hạn mức tìm kiếm thì AI Toggle tự động tắt @regression @guest","Photo AC - Guest","2026-09-23","passed","2026-09-23","Firefox","search-guest.spec","",""
"","15727","TC-SEARCH-GUEST-030: Truy cập Recommended Search và giữ tham số rcm=1 khi chuyển trang @regression @guest","Photo AC - Guest","2026-09-23","passed","2026-09-23","Firefox","search-guest.spec","",""
"","16132","TC-SEARCH-GUEST-011: Guest lọc kích thước ảnh Mサイズ以上 qua Toolbar ""ファイル・向き"" @regression @guest","Photo AC - Guest","2026-09-23","passed","2026-09-23","Firefox","search-guest.spec","",""
